"List of employers who were issued a negative  Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions
Newfoundland and Labrador,   Low Wage,Barry Mackinnon Restaurant Inc,"Corner Brook, NL A2H 7K5",6311-Food service supervisors,1
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,1
Nova Scotia,    High Wage,3091914 Nova Scotia Limited,"Halifax, NS B3K 1H8",1221-Administrative officers,1
,   Low Wage,Sackville Recycling Ltd.,"Lower Sackville, NS B4C 2R8",7452-Material handlers,2
New Brunswick,    High Wage,Medical Offices of Dr J H Steeves,"Rothesay, NB E2H 1A8",3111-Specialist physicians,1
,   Low Wage,611179 NB Inc.,"Moncton, NB E1G 2W5",6312-Executive housekeepers,1
,,Eastern Outdoors Inc.,"Dipper Harbour, NB E5J 1Y2",6532-Outdoor sport and recreational guides,1
Quebec,    High Wage,137377 Canada Inc.,"Boucherville, QC J4B 7M4",2281-Computer network technicians,1
,,4355768 Canada Inc.,"QuÇbec, QC G1K 8G3",2175-Web designers and developers,1
,,6450113 Canada Inc.,"MontrÇal, QC H4A 3J3",6322-Cooks,1
,,9139249 Canada Inc,"MontrÇal, QC H2X 2H5","0124-Advertising, marketing and public relations managers",1
,,9168-1346 QuÇbec Inc.,"MontrÇal, QC H3H 1J3",6322-Cooks,1
,,9170-9154 QuÇbec Inc,"Pierrefonds, QC H8Z 2B4","7301-Contractors and supervisors, mechanic trades",2
,,9197-7330 QuÇbec inc.,"MontrÇal, QC H3B 1H9","0124-Advertising, marketing and public relations managers",1
,,9246-6135 QuÇbec Inc.,"Sherbrooke, QC J1J 2E8",6322-Cooks,1
,,9281-5059 QuÇbec inc.,"Lebel-sur-Quevillon, QC J0Y 1X0","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,9305-6828 QuÇbec Inc.,"Laval, QC H7V 4A7",3131-Pharmacists,1
,,CIDMA inc.,"MontrÇal, QC H4C 3C5",2175-Web designers and developers,1
,,Cinesite Inc.,"MontrÇal, QC H2Y 0A3",5241-Graphic designers and illustrators,1
,,Club Aquatique Rosemont-La-Petite-Patrie,"MontrÇal, QC H2G 1N6","5254-Program leaders and instructors in recreation, sport and fitness",1
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2174-Computer programmers and interactive media developers,1
,,Distribution G.V.A inc.,"Laval, QC H7M 2Y5",0113-Purchasing managers,1
,,Integra Services d'Immigration Canadiens Inc.,"MontrÇal, QC H2L 3X1",2147-Computer engineers (except software engineers and designers),1
,,JMJ AÇronautique Inc.,"Saint-Hubert, QC J3Y 8Y9","2271-Air pilots, flight engineers and flying instructors",1
,,KDS Commerce Inc.,"Laval, QC H7P 3V3",2281-Computer network technicians,1
,,Kinova Inc.,"Boisbriand, QC J7H 1M7",2132-Mechanical engineers,1
,,Les Coiffeurs Magazines Inc.,"Westmount, QC H3Z 1P6","0651-Managers in customer and personal services, n.e.c.",1
,,Modlum Lighting Canada Inc.,"Montreal, QC H4R 1X1","0013-Senior managers - financial, communications and other business services",1
,,MunicipalitÇ de L'◊le - d'Anticosti,"Port-Menier, QC G0G 2Y0",4214-Early childhood educators and assistants,1
,,NEWREST MONTRêAL CORPORATION,"Dorval, QC H9P 1K6",6552-Other customer and information services representatives,1
,,Nunetworx Communications Inc.,"MontrÇal, QC H2N 1L5",2173-Software engineers and designers,1
,,Office d'Investissement des RÇgimes de Pension du secteur public,"MontrÇal, QC H3B 5E9","0122-Banking, credit and other investment managers",1
,,Valbo Inc.,"MontrÇal, QC H1E 1P4",1241-Administrative assistants,1
,,Waff World Gifts Inc.,"Montreal, QC H4R 2E9",5241-Graphic designers and illustrators,1
,,ZHONGDE CONSULTING LTD,"MontrÇal, QC H3H 2E7",0621-Retail and wholesale trade managers,1
,   Low Wage,6173306 Canada Inc.,"Amos, QC J9T 1H3",6311-Food service supervisors,1
,,9310-6508 QuÇbec inc.,"MontrÇal, QC H3H 2M4",6322-Cooks,1
,,Artemur Inc,"Chicoutimi, QC G7H 1V5",9471-Plateless printing equipment operators,1
,,Au pain quotidien St-Laurent inc.,"MontrÇal, QC H3L 2P4",6332-Bakers,1
,,Botan Construction Inc.,"Montreal, QC H4G 1V1",0712-Home building and renovation managers,1
,,C. OUI CONSTRUCTIONS INC.,"St-Lin-Laurentides, QC J5M 2P6","7284-Plasterers, drywall installers and finishers and lathers",1
,,DÇpanneur Vieux MontrÇal (2016) Inc.,"MontrÇal, QC H2Y 1S6",6322-Cooks,1
,,Hìtel Motel Nordic,"Chibougamau, QC G8P 1R6",6525-Hotel front desk clerks,1
,,Laboratoire dentaire Joly et Lanois inc.,"Mirabel, QC J7J 0C3","3223-Dental technologists, technicians and laboratory assistants",1
,  Primary Agriculture,624899 Nouveau-Brunswick ltÇe,"St-Lambert, QC G0S 2W0",8431-General farm workers,2
Ontario,    High Wage,1397764 ONTARIO INC.,"Bradford, ON L3Z 2M8",7281-Bricklayers,1
,,1533665 Ontario Ltd.,"Concord, ON L4K 4Z7",7311-Construction millwrights and industrial mechanics,1
,,2097181 Ontario Ltd.,"Caledon, ON L7C 3T4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2224973 Ontario Inc.,"Hamilton, ON L8K 1C7",6211-Retail sales supervisors,1
,,2347191 Ontario Inc.,"North York, ON M2M 2M6",0621-Retail and wholesale trade managers,1
,,2347401 Ontario Inc./ O/A Asian Food Centre,"Brampton, ON L7A 3Y6",6322-Cooks,1
,,7892985 Canada Corporation,"North York, ON M2R 3B6",7511-Transport truck drivers,1
,,8048975 Canada Inc.,"Mississauga, ON L4W 1B9",7441-Residential and commercial installers and servicers,2
,,A.T. Consulting and Recruiting Inc.,"Toronto, ON M5E 1E5",4163-Business development officers and marketing researchers and consultants,1
,,Alda Carpentry Ltd,"Toronto, ON M3M 1M3",7272-Cabinetmakers,1
,,Algo Electric 2012 Ltd.,"Sault St. Marie, ON P6B 4K2",7333-Electrical mechanics,1
,,Alion Science and Technology (Canada) Corp,"Ottawa, ON K2K 2X3","2148-Other professional engineers, n.e.c.",1
,,Anatolia Tile & Stone Inc.,"Vaughan, ON L4L 1A5",1121-Human resources professionals,1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Azcor Inc.,"Woodbridge, ON L4L 3R5",7242-Industrial electricians,1
,,Cangates Immigration & Citizenship Consulting Inc.,"Richmond Hill, ON L4C 3B5","0124-Advertising, marketing and public relations managers",1
,,Conseil Scolaire Du District Catholique Centre-Sud,"North York, ON M2M 1C8",4214-Early childhood educators and assistants,1
,,Crop Defenders Ltd,"Windsor, ON N9B 3W8",1122-Professional occupations in business management consulting,1
,,CWSS Canada USA Immigration Services,"Toronto, ON M2N 7A5","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Eldorado Cleaners Inc.,"Whitby, ON L1N 1E5",6315-Cleaning supervisors,1
,,Element Elevators Inc.,"Richmond Hill, ON L4E 4S3",7318-Elevator constructors and mechanics,1
,,Extreme Goalkeepers Inc,"Aurora, ON L4G 6H8",5252-Coaches,1
,,Fanshawe Health Group,"London, ON N6G 5A9",3112-General practitioners and family physicians,1
,,Fischer Canada Stainless Steel Tubing Incorporated,"Waterloo, ON N2V 2A2",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Foodticket Canada Inc.,"Toronto, ON M8Z 6A3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Fourth Dimension Inc.,"Toronto, ON M5V 3P8","0124-Advertising, marketing and public relations managers",1
,,Glacier Precision Machining Inc.,"Brampton, ON L6W 3R6",7231-Machinists and machining and tooling inspectors,1
,,GMH Fleet Services Inc.,"Mississauga, ON L4W 1B6",1221-Administrative officers,1
,,Gwillimdale Farms Ltd,"Bradford, ON L3Z 2B7",0125-Other business services managers,1
,,Hamati Roofing Ltd.,"Scarborough, ON M1B 3W3","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Historic Restoration inc.,"Toronto, ON M4M 2R5",7294-Painters and decorators (except interior decorators),1
,,I Barbieri Ltd.,"Toronto, ON M6A 2C6",6341-Hairstylists and barbers,1
,,Ideal Kitchen Cabinet and Renovations Inc.,"Brampton, ON L6X 0L6",7271-Carpenters,1
,,ILS Kitchen & Cabinets Inc.,"Hamilton, ON L8W 1G7",7441-Residential and commercial installers and servicers,1
,,Jack-Line Roofing & Sheet Metal Ltd.,"Mississauga, ON L4W 1C8",7291-Roofers and shinglers,1
,,Jerry's Skating World,"Markham, ON L3R 4N3","5243-Theatre, fashion, exhibit and other creative designers",2
,,Julie Charbonneau Design Inc.,"Toronto, ON M5T 1R5",5242-Interior designers and interior decorators,1
,,Kelso Lake Medical Centre,"Milton, ON L9T 0A5",4163-Business development officers and marketing researchers and consultants,1
,,Lee Design & Build Inc.,"Toronto, ON M2N 5W9",1221-Administrative officers,1
,,Linkglobal Food Inc,"Richmond Hill, ON L4B 1L5",6222-Retail and wholesale buyers,1
,,Marco's Bakery and Pizza Inc.,"Burlington, ON L7N 2R5",6332-Bakers,1
,,MCL Concrete Ltd,"Oakville, ON L6M 4X1",7282-Concrete finishers,1
,,Morneau Shepell Ltd.,"Toronto, ON M3C 1W3","0013-Senior managers - financial, communications and other business services",1
,,MRG Custom Concrete Forming Inc.,"King City, ON L7B 1H5",7282-Concrete finishers,5
,,New Star Table Tennis Inc,"Markham, ON L3P 3P2",5252-Coaches,1
,,Nimble Brain INC.,"Windsor, ON N9E 1S4","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Northend Finish Carpentry,"Woodbridge, ON L4H 0E2",7271-Carpenters,1
,,Northern Visions Independent Film & Video Association,"Toronto, ON M5V 3A8",1226-Conference and event planners,1
,,OBG Golf Inc.,"Woodbridge, ON L4L 5V1",6322-Cooks,2
,,OPC TV Inc.,"Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Park Safe Inc.,"Ottawa, ON K1Z 7T1",2283-Information systems testing technicians,1
,,Pointone Graphics Inc.,"Etobicoke, ON M8Z 5J4","7303-Supervisors, printing and related occupations",1
,,"PPD Canada, LTD.","Kitchener, ON N2P 2B4","4165-Health policy researchers, consultants and program officers",1
,,Precise Testing Solutions Inc.,"Toronto, ON M4P 1E4",1221-Administrative officers,1
,,Real Time System Inc.,"Etobicoke, ON M9W 5N6",2174-Computer programmers and interactive media developers,1
,,Roni Excavating Ltd.,"Concord, ON L4P 4P9",7282-Concrete finishers,1
,,Rush Truck Trailer Repair Ltd,"Mississauga, ON L4W 1G6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Sanjha Punjab Radio and TV Inc.,"Brampton, ON L6S 5Z4","0651-Managers in customer and personal services, n.e.c.",1
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",2
,,Shelley Industrial Automation Inc.,"Toronto, ON M3B 1Y8",6221-Technical sales specialists - wholesale trade,1
,,Sirius Auto Parts Corp.,"Woodbridge, ON L4L 6B4",6222-Retail and wholesale buyers,1
,,"Soft Citizen, Inc.","Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",6
,,Spectra Construction Corporation,"Concord, ON L4K 4H2",7271-Carpenters,1
,,SSN Transport Ltd.,"Kitchener, ON N2A 4M4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Steam Films Inc.,"Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Sugar Loaf Bakery Pastry and Chocolate Inc.,"Toronto, ON M4M 1H1",1311-Accounting technicians and bookkeepers,1
,,The Brampton Nilgiris Inc,"Brampton, ON L6P 2K8",6322-Cooks,1
,,The Nilgiris Inc.,"Scarborough, ON M1X 1L7",6322-Cooks,1
,,Thorncliffe Dental Centre,"Toronto, ON M4H 1C3",3222-Dental hygienists and dental therapists,1
,,Top Drywall Inc.,"Mississauga, ON L4W 4N5","7284-Plasterers, drywall installers and finishers and lathers",1
,,Toronto Learning Inc.,"Brampton, ON L6P 2L1",1241-Administrative assistants,1
,,Trinity Tech Inc.,"Toronto, ON M9W 5Z8",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Trio General Contracting Inc.,"Toronto, ON M9W 3A1",7521-Heavy equipment operators (except crane),2
,,TWI Foods Inc,"Etobicoke, ON M9W 4M2",2243-Industrial instrument technicians and mechanics,1
,,Tyger Shark Inc.,"Barrie, ON L4M 1A8",1225-Purchasing agents and officers,1
,,Uwin Pro Inc.,"Scarborough, ON M1H 2X1","0013-Senior managers - financial, communications and other business services",1
,,VBE Developments Ltd.,"Toronto, ON M8Y 3J6",1224-Property administrators,1
,,Vision Entertainment Inc.,"Toronto, ON M6A 2A4","5131-Producers, directors, choreographers and related occupations",1
,,Vitaly Design Ltd.,"Etobicoke, ON M8Z 6A4",0911-Manufacturing managers,1
,,Wilfrid Park Inc.,"Toronto, ON M4J 5B9","5131-Producers, directors, choreographers and related occupations",1
,,Window Force Inc.,"Toronro, ON M9W 4Y6",1225-Purchasing agents and officers,1
,,Zurich Pharma Inc.,"Windsor, ON N8K 4L2",0714-Facility operation and maintenance managers,1
,   Low Wage,1206877 Ontario Limited O/A Pizza Pizza No. 114,"Mississauga, ON L5V 2B3",6211-Retail sales supervisors,1
,,1520636 Ontario Inc,"Brampton, ON L6R 2K7",0631-Restaurant and food service managers,1
,,1551826 Ontario Inc.,"London, ON N5V 3Z9",6732-Specialized cleaners,1
,,1598682 Ontario Inc. (Anjappar Restaurants),"Brampton, ON L6W 3T7",6322-Cooks,3
,,1666563 Ontario Inc.,"Brampton, ON L6T 4L6",1241-Administrative assistants,1
,,1695368 Ontario Inc.,"Toronto, ON M5B 1S5",6311-Food service supervisors,1
,,1767861 Ontario Inc.,"Toronto, ON M5T 1P7",6322-Cooks,1
,,1786454 Ontario Inc.,"Scarborough, ON M1L 2M9",6322-Cooks,1
,,1828655 Ontario Inc.,"Toronto, ON M4K 1P6",6322-Cooks,1
,,1861065 Ontario Inc.,"Beeton, ON L0G 1A0",6322-Cooks,1
,,1865817 Ontario Inc.,"Toronto, ON M4J 2S4",5123-Journalists,1
,,1925Workbench Ltd.,"Etobicoke, ON M8W 3C5",7272-Cabinetmakers,1
,,1958380 Ontario Inc.,"Toronto, ON M6K 1X9",6322-Cooks,1
,,2065899 Ontario Ltd.,"London, ON N5V 2Z7","1123-Professional occupations in advertising, marketing and public relations",1
,,2135395 Ontario Inc.,"Mississauga, ON L4T 3X2",7511-Transport truck drivers,1
,,2176069 Ontario Limited,"Ajax, ON L1Z 0C5",1431-Accounting and related clerks,1
,,2179479 Ontario Inc.,"Brampton, ON L6S 5R7",6341-Hairstylists and barbers,1
,,2301716 Ont. Inc.,"Cambridge, ON N1R 6J8",6322-Cooks,1
,,2303773 Ontario Inc,"Toronto, ON M2M 2P2",6311-Food service supervisors,1
,,2322117 Ontario Inc.,"Ottawa, ON K2P 1M2",6321-Chefs,1
,,2322943 Ontario Inc,"Ingersoll, ON N5C 0A9",6311-Food service supervisors,1
,,2345494 Ontario Inc.,"Pickering, ON L1V 5Z4",6322-Cooks,1
,,2414656 Ontario Inc. o/a Civil Liberties,"Toronto, ON M6G 1M5",0631-Restaurant and food service managers,1
,,2433395 Ontario Inc.,"Thornhill, ON L4J 1V7",6322-Cooks,1
,,2496340 Ontario Inc.,"London, ON N6H 0H9",6322-Cooks,1
,,2506152 Ontario Inc.,"Mississauga, ON L4Z 1R5",6322-Cooks,1
,,648068 Ontario Inc,"Oakville, ON L6M 0N2","6562-Estheticians, electrologists and related occupations",1
,,779224 Ontario Inc.,"Etobicoke, ON M9V 3Y7",1241-Administrative assistants,1
,,7799012 Canada Inc,"Brampton, ON L6S 0E1",6322-Cooks,1
,,806040 Ontario Ltd,"Toronto, ON M3J 2B9",7335-Other small engine and small equipment repairers,1
,,8766282 Canada Inc.,"Toronto, ON M5S 1X2",6211-Retail sales supervisors,1
,,9023674 Canada Inc,"Pembroke, ON K8A 2E8",6311-Food service supervisors,1
,,9509038 Canada Inc.,"Toronto, ON M4V 1K6",3236-Massage therapists,2
,,Asian Television Network Inc,"Newmarket, ON L3Y 7B6","1212-Supervisors, finance and insurance office workers",1
,,Bassell's Restaurant,"Niagara Falls, ON L2E 4C5",0631-Restaurant and food service managers,1
,,Be Beautiful Salon and Spa Inc,"Thornhill, ON L4J 0H9",6341-Hairstylists and barbers,1
,,Canadian Clothing International Inc,"Scarborough, ON M1B 5S1","9447-Inspectors and graders, textile, fabric, fur and leather products manufacturing",1
,,Canadian Community Table Tennis Association,"Markham, ON L3R 4B2",5251-Athletes,1
,,Canuck Express Ltd,"Burlington, ON L7L 6C9",7511-Transport truck drivers,5
,,Central Animal Hospital Professional Corp.,"Windsor, ON N8W 4J1",3213-Animal health technologists and veterinary technicians,1
,,Citrex Corp.,"Vaughan, ON L4K 4C9",7294-Painters and decorators (except interior decorators),2
,,Digital Extremes Ltd.,"London, ON N6A 6K2",5241-Graphic designers and illustrators,1
,,Distinctive By Design Fine Cabinetry Inc.,"Toronto, ON M4A 1X8",7272-Cabinetmakers,1
,,Dr. Rowena Bucad-Javier Dentistry Prof. Corp.,"East York, ON M4B 1A9",1414-Receptionists,1
,,Eldorado Cleaners Inc.,"Whitby, ON L1N 1E5",6315-Cleaning supervisors,1
,,Falcon Motor Xpress Ltd,"Caledon, ON L7C 2X3",1311-Accounting technicians and bookkeepers,1
,,Gosbee Law Professional Corporation,"Richmond Hill, ON L4B 3H7",1242-Legal administrative assistants,1
,,Grace Transport Inc.,"Strathroy, ON N7G 3H8",7511-Transport truck drivers,1
,,Greenwood Enterprises Inc.,"Huntsville, ON P1H 2K8",6311-Food service supervisors,2
,,Grille De Ville Restaurant Inc.,"St. Isidore, ON K0C 2B0",6322-Cooks,2
,,Hamilton Discount Auto Parts and Supplies Inc.,"Hamilton, ON L8H 5W9","1315-Customs, ship and other brokers",1
,,House of India,"Windsor, ON N8R 0A4",6322-Cooks,1
,,J & J Meat Distributing Inc.,"Schomberg, ON L0G 1T0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",1
,,Kingston Curry Original Restaurant Inc.,"Kingston, ON K7L 2Z4",6322-Cooks,2
,,Linton Services 1992 Inc.,"Ottawa, ON K1B 4T7",0114-Other administrative services managers,1
,,Mazifa Corp,"Toronto, ON M2N 0H4",7611-Construction trades helpers and labourers,1
,,Med Carpentry Inc.,"Pickering, ON L1W 3V4",1241-Administrative assistants,1
,,Midori Sushi Bar & Restaurant Inc.,"Grand Bend, ON N0M 1T0",6321-Chefs,1
,,National Countertops Inc.,"Mississauga, ON L4T 3X2",9437-Woodworking machine operators,1
,,New Casa Abril Restaurant (1205250 Ontario Inc),"Toronto, ON M6E 2W4",6321-Chefs,1
,,OLLY Corporation,"North York, ON M2H 3B4",6211-Retail sales supervisors,1
,,Om Shiv Indiya Brampton Inc.,"Brampton, ON L6T 5E2",6311-Food service supervisors,1
,,Pakhavelly Grill Restaurant and Banquet Inc.,"Mississauga, ON L5S 1W7",6321-Chefs,1
,,Peninsula Motor Sales Ltd.,"Owen Sound, ON N4K 6H6",7322-Motor vehicle body repairers,1
,,Ranger Trucklines Inc.,"Brampton, ON L6W 4T4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Sakura Sushi Restaurant,"Simcoe, ON N3Y 4K1",6322-Cooks,1
,,Savic Homes Ltd.,"Kitchener, ON N2A 3W3",7271-Carpenters,5
,,Shyangba Ltd,"Toronto, ON M6J 2Z4",6322-Cooks,1
,,Simply Green Home Services Inc.,"North york, ON M2J 5C1",1435-Collectors,1
,,SMSM Hospitality Inc.,"Richmond Hill, ON L4E 3S8",6311-Food service supervisors,2
,,Soul Restaurants Canada Inc.,"Toronto, ON M2N 6K1",6311-Food service supervisors,2
,,The Church Of The Virgin Mary And St. Athanasius,"Mississauga, ON L5Z 2M4",4214-Early childhood educators and assistants,2
,,Tirajeh Jewelry Inc.,"Thonrhill, ON L3T 0C7","6344-Jewellers, jewellery and watch repairers and related occupations",1
,,Tosho Knife Arts Inc.,"Toronto, ON M5R 3G5",7445-Other repairers and servicers,1
,,VDI / LOL Business International Ltd.,"Ottawa, ON K2P 1X7",1111-Financial auditors and accountants,1
,,Veg Pak Produce Limited,"Etobicoke, ON M8W 3R2","9619-Other labourers in processing, manufacturing and utilities",5
,,Vincent Salon and Spa,"Penetanquishene, ON L9M 1S8",6341-Hairstylists and barbers,1
,  Primary Agriculture,Ausable Orchards Ltd,"London, ON N6P 1M6",8431-General farm workers,2
,,Burm Farms Ltd,"Wallaceburg, ON N8A 4L3",8431-General farm workers,4
,,Canborough Farms Inc,"Dunnville, ON N1A 2W1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
